States,Latitude,Longitude,TotalConfirmed,discharged
AndamanAndNicobar,11.66702557,92.73598262,2306,1128
AndhraPradesh,14.7504291,78.57002559,281817,191117
ArunachalPradesh,27.10039878,93.61660071,2658,1771
Assam,26.7499809,94.21666744,75558,53286
Bihar,25.78541445,87.4799727,101551,68510
Chandigarh,30.71999697,76.78000565,2009,1118
Chhattisgarh,22.09042035,82.15998734,14987,10046
DadraAndNagarHaveli,20.26657819,73.0166178,1843,1384
Delhi,28.6699929,77.23000403,151928,136251
Goa,15.491997,73.81800065,11339,7488
Gujarat,22.2587,71.1924,77559,60553
Haryana,28.45000633,77.01999101,46410,38939
HimachalPradesh,31.10002545,77.16659704,3993,2632
JammuAndKashmir,34.29995933,74.46665849,28021,20676
Jharkhand,23.80039349,86.41998572,22389,14024
Karnataka,12.57038129,76.91999711,219926,134811
Kerala,8.900372741,76.56999263,42885,27795
Lakshadweep,10.56257331,72.63686717,0,0
MadhyaPradesh,21.30039105,76.13001949,44433,33353
Maharashtra,19.25023195,73.16017493,584754,408286
Manipur,24.79997072,93.95001705,4390,2438
Meghalaya,25.57049217,91.8800142,1292,596
Mizoram,23.71039899,92.72001461,777,356
Nagaland,25.6669979,94.11657019,3340,1321
Orissa,19.82042971,85.90001746,57126,40727
Puducherry,11.93499371,79.83000037,7354,4224
Punjab,31.51997398,75.98000281,30041,18863
Rajasthan,26.44999921,74.63998124,59979,45254
Sikkim,27.3333303,88.6166475,1148,661
TamilNadu,12.92038576,79.15004187,332105,272251
Tripura,23.83540428,91.27999914,7061,5151
UttarPradesh,27.59998069,78.05000565,150061,96231
Uttaranchal,30.32040895,78.05000565,11940,7748
WestBengal,22.58039044,88.32994665113432,83836
